station_id,lat,lon,population_1500m
418,46.92878380186514,7.44610102408428,22270
258,46.9475995,7.4473498,46270
411,46.9257473,7.3770699,8154
104,47.373935,8.538633,54153
164,47.387531,8.527138,70258
180,46.9477116,7.3774722,23346
18,46.5367962297447,6.57834071739537,40548
580,46.800445,7.122294,14916
240,46.7899747,7.1160135,8949
260,46.9486794,7.4532728,43415
42,45.998453,8.94848,0
206,45.982042,8.883593,0
298,46.9427331,7.4595458,32740
255,46.9526864,7.4299899,34345
592,46.93718143594243,7.43939787406106,37831
809,46.53096154772573,6.570954143053104,35045
878,46.94867096785492,7.408147339558864,27053
186,46.9493284,7.3939866,29994
168,46.417718,6.267441,13549
884,46.973323,7.484832,17372
824,46.95626329415468,7.482893566913186,21936
616,46.975958,7.472646,14223
191,46.96011625159724,7.454334866797193,36866
556,47.391289,8.537546,60401
795,46.80627599825691,7.175202933966421,15699
13,46.517153,6.561272,13648
435,46.009713,8.96008,0
749,46.01839064983639,8.952667134728758,0
27,46.50225151684113,6.48110823288,11160
30,46.511048,6.492569,17168
32,46.510581,6.496026,17855
504,46.799339,7.151984,29612
664,46.011494,8.961011,0
327,46.938964,7.4476281,34383
565,47.381149,8.532405,73079
84,47.3789825,8.5412505,58339
561,47.413733,8.541541,51705
286,47.3985553,8.493822,38613
788,46.52285180329474,6.616691677562492,70311
629,46.009397,8.931591,0
619,46.016072,8.941042,0
674,46.93357261917911,7.505070609131323,10793
474,46.9501048,7.4283779,37956
347,46.941479,7.466444,30593
389,47.413032,8.558096,48711
490,46.534129,6.606292,55689
479,46.9581458,7.4349895,32085
456,46.965031,7.4589906,30236
241,46.794798,7.114034,9352
87,47.371083,8.536101,52910
361,47.394554,8.522117,51170
182,46.96274,7.46276,30915
804,46.979405440906326,7.457189997936046,12593
826,46.988369990781095,7.463319968143853,13522
96,47.378548,8.531836,71065
839,46.52877795845398,6.614257776560184,74152
25,46.51729603169255,6.630497103216617,65556
548,46.944243,7.399437,31792
665,46.92962527658024,7.420941454465892,31054
80,47.3795837,8.5156327,76556
675,46.95906857,7.47775778,24136
368,47.3619068,8.5609218,35452
467,46.93992,7.3950333,30911
150,47.359884,8.523071,46905
127,47.361567,8.525525,50230
483,46.9390885,7.4286407,41939
169,46.4223802,6.2585274,12180
726,46.9647833374251,7.448403781023344,34306
845,45.9987921421312,8.93937873151315,0
207,46.001154,8.934162,0
841,46.938446718314495,7.4808033698062095,24162
201,46.95602789210635,7.425797884262834,24581
137,47.370869,8.548045,43287
740,46.99128453561965,7.46742522413544,13421
602,47.000176,7.461966,11753
126,47.381356,8.510418,72231
273,47.389862,8.514605,59160
775,46.33961592685363,6.171960914015045,3283
807,46.52654734920485,6.64111195901793,60002
562,47.370238,8.514841,79360
209,46.022676,8.917196,538
45,46.023159,8.959919,81
370,47.4039985,8.5721264,33936
129,47.379952,8.542726,57303
453,47.3836391,8.4941268,59810
33,46.512991,6.614122,35904
694,45.849794,8.944964,0
695,45.848177,8.936794,0
644,46.776964,7.16038,8468
143,47.3899,8.523722,64026
817,46.51673942261787,6.566454652605652,13408
356,47.380319,8.552615,39534
673,46.93158881023778,7.485518127326376,17672
611,46.38362,6.23574,21776
90,47.3917964,8.5056978,47642
263,47.359978,8.552717,35580
31,46.50737,6.495352,15936
464,46.9523752,7.3914921,25695
530,47.40462,8.60465,34324
37,46.537813,6.581462,41290
295,46.9371056,7.4178248,36081
482,46.9364423,7.437876,37634
552,46.952701,7.454585,43662
669,46.99202428819717,7.457368930354201,13331
276,47.414545,8.552747,55581
277,47.413514,8.537816,45452
93,47.384918,8.531935,70221
99,47.37497,8.519782,76262
248,45.993326,8.924532,0
756,46.370779,6.228414,6215
667,46.99996912619948,7.442087059202756,10957
463,46.9593467,7.4518043,40044
184,46.9489732,7.3882333,29672
109,47.37247535,8.53001018,66841
134,47.358557,8.557088,32091
494,45.970197,8.883746,0
208,45.977309,8.875447,0
371,46.933433,7.466467,24872
476,46.9459831,7.4394178,47612
366,47.407098,8.55033,48681
686,45.8762029265714,8.981280464481735,0
725,45.90587981635428,8.972694428589046,0
140,47.366904,8.533736,50609
125,47.378521,8.496727,66551
362,47.37271,8.530437,66416
100,47.368064,8.539046,45043
825,46.95123907638763,7.487040006612239,25572
160,47.385718,8.524762,72696
379,46.008095,8.957432,0
365,47.388689,8.536433,61860
451,47.381915,8.515252,75678
382,45.972202,8.915525,0
468,46.94730845562206,7.393210711796317,31319
648,46.949233,7.436822,45430
628,46.00627672,8.94272889,0
221,46.9519742,7.4227466,31267
671,46.92898585565497,7.450277590824284,20399
47,46.02398,8.968292,155
328,46.9417265,7.3930062,31262
434,46.0159412,8.9668282,0
388,47.412732,8.544185,54685
95,47.377148,8.523818,73298
294,46.95386,7.4365667,40148
197,46.9394841,7.3899968,31623
782,46.029052,8.969857,975
183,46.9432034,7.4735436,29480
82,47.359675,8.535718,36668
