station_id,lat,lon,coords,atms_count,atms_nearest_distance,bakeries_count,bakeries_nearest_distance,banks_count,banks_nearest_distance,bars_count,bars_nearest_distance,bike_parking_count,bike_parking_nearest_distance,bike_rental_count,bike_rental_nearest_distance,bike_shops_count,bike_shops_nearest_distance,bookstores_count,bookstores_nearest_distance,bus_stops_count,bus_stops_nearest_distance,cafes_count,cafes_nearest_distance,cinemas_count,cinemas_nearest_distance,clinics_count,clinics_nearest_distance,clothing_stores_count,clothing_stores_nearest_distance,convenience_stores_count,convenience_stores_nearest_distance,dentists_count,dentists_nearest_distance,electronics_stores_count,electronics_stores_nearest_distance,fitness_centres_count,fitness_centres_nearest_distance,fuel_count,fuel_nearest_distance,general_offices_count,general_offices_nearest_distance,general_shops_count,general_shops_nearest_distance,government_offices_count,government_offices_nearest_distance,hospitals_count,hospitals_nearest_distance,hotels_count,hotels_nearest_distance,leisure_general_count,leisure_general_nearest_distance,libraries_count,libraries_nearest_distance,museums_count,museums_nearest_distance,offices_count,offices_nearest_distance,parking_count,parking_nearest_distance,parks_count,parks_nearest_distance,personal_services_count,personal_services_nearest_distance,pharmacies_count,pharmacies_nearest_distance,playgrounds_count,playgrounds_nearest_distance,police_count,police_nearest_distance,postal_services_count,postal_services_nearest_distance,public_toilets_count,public_toilets_nearest_distance,public_transport_general_count,public_transport_general_nearest_distance,railway_general_count,railway_general_nearest_distance,religious_count,religious_nearest_distance,restaurants_count,restaurants_nearest_distance,schools_count,schools_nearest_distance,shopping_centers_count,shopping_centers_nearest_distance,sports_centres_count,sports_centres_nearest_distance,stadiums_count,stadiums_nearest_distance,supermarkets_count,supermarkets_nearest_distance,swimming_pools_count,swimming_pools_nearest_distance,theatres_count,theatres_nearest_distance,tourism_general_count,tourism_general_nearest_distance,tourist_attractions_count,tourist_attractions_nearest_distance,tourist_info_count,tourist_info_nearest_distance,train_stations_count,train_stations_nearest_distance,train_stops_count,train_stops_nearest_distance,tram_stops_count,tram_stops_nearest_distance,transit_platforms_count,transit_platforms_nearest_distance,transit_stations_count,transit_stations_nearest_distance,transit_stops_count,transit_stops_nearest_distance,universities_count,universities_nearest_distance,viewpoints_count,viewpoints_nearest_distance,total_features
212,46.958717,7.4646494,"(46.958717, 7.4646494)",8,158.1576047136065,2,461.25465252060474,1,763.5446310676161,4,667.8938276173833,23,519.2842397765112,21,6.728780263568138,6,700.316713983363,0,1000.0,0,1000.0,5,437.5658046486435,1,909.7433994843855,0,1000.0,15,413.0762521458172,4,317.59997420611313,3,267.9794355200296,3,446.4530170975492,6,574.8543194304268,7,572.6717988510457,24,260.2182594189608,114,229.51483953901356,11,229.3405743590086,0,1000.0,7,25.336223566090833,35,302.49577012566266,4,141.15621780086371,0,1000.0,20,460.03583010194313,8,323.44803451892375,0,1000.0,28,427.2735915973755,4,548.1408421595615,6,600.83235703024,0,1000.0,1,832.0259096078235,10,40.132400667251574,0,1000.0,207,7.831184519729334,0,1000.0,42,203.2463232996421,8,323.9846333279953,1,290.484206345122,3,509.15368032623394,0,1000,10,537.9609334016877,0,1000.0,1,966.9601016341269,6,411.7890023159811,0,1000.0,1,680.4652999198283,0,1000.0,1,903.1789455517327,12,66.58451374108765,13,66.47081567345367,0,1000.0,41,144.87122704542685,0,1000.0,1,878.5798329779395,728
203,46.9569128,7.4376583,"(46.9569128, 7.4376583)",25,174.98283134108524,9,72.83121035318162,4,952.3027830987344,20,452.2256559136178,113,71.02136900657808,40,1.969555893316977,7,42.18208544315375,5,580.543430210512,1,827.8122533023991,21,138.97582158489473,2,459.3209770722617,4,562.97008115179,21,221.17686855108693,17,334.94324483586087,3,27.23180266215284,2,126.10224760600448,3,328.85511691626004,4,146.63442796828573,62,31.017908818392208,134,23.683891195744245,13,535.0802032475019,0,1000.0,8,486.2011878390902,67,39.03174963774702,23,211.24137447781015,3,493.37374126931445,16,203.57911571586678,9,425.9291495534262,0,1000.0,56,25.91087340244749,9,401.9710907404442,2,558.3989152143109,3,823.8197902792296,2,590.3036160305325,25,31.08043679799339,0,1000.0,198,396.436406209336,4,348.02522710745416,129,20.302814463359713,3,542.0120081351022,0,1000.0,4,420.730050572957,0,1000,11,352.6849884085036,0,1000.0,2,463.11975530086045,23,336.6392293172927,1,652.5137930199331,21,17.586006409015162,1,906.8778494840221,0,1000.0,0,1000.0,34,53.77396416394437,0,1000.0,36,72.06762473186042,43,180.64848564816242,1,635.7528254050617,1244
311,46.9442197,7.4366739,"(46.9442197, 7.4366739)",38,356.08458615992845,22,53.82707753622034,15,315.65129988397314,37,159.2221646790464,119,52.0365606382276,51,4.835100323721305,13,158.79319827970374,9,66.63056298146027,0,1000.0,42,190.3611453355239,9,267.6675846266126,10,145.13749497856844,81,289.15871765519205,15,280.2538187025927,13,247.52160113360833,5,359.55354050148037,11,103.7690020906976,1,883.849662819423,171,61.188982034301446,338,52.708232420053974,43,205.01765933374256,1,867.4566164409998,23,138.2911145534253,86,18.31951653074206,16,55.91273327918909,3,547.9222801730261,21,82.26537627185459,12,533.7029640459998,0,1000.0,86,20.631683618627697,17,285.0455037547462,6,293.5584234173375,2,574.3188735870499,4,402.3125145240527,24,213.69529677095724,6,843.4611103650533,661,32.921950482230045,10,296.50890803509975,208,61.681764373169045,11,326.8197907614885,4,481.68288839410945,7,197.37115991006127,0,1000,26,394.55243412846585,0,1000.0,8,218.48958183547458,20,249.16468265369463,1,777.4160753252625,34,331.4905476741676,1,577.8924859681761,2,461.4156367437454,39,79.35725155090581,47,90.79857635904253,0,1000.0,81,80.8192605570758,15,216.98381160107223,3,349.46149485204785,2528
28,46.515862,6.630461,"(46.515862, 6.630461)",31,107.6741500216541,28,123.4839226302865,15,232.61821151513888,66,150.80206370254288,121,77.82933758269746,7,18.6158788245999,8,243.56464428622533,12,59.39588718312361,1,159.49409781744743,45,16.71415112159388,5,254.16765350933596,5,215.35803365142945,114,148.6245135259625,31,64.43612197156291,7,13.182704438196343,5,247.42233343003682,11,65.14247199096441,2,452.62651241948873,55,161.7357246722406,369,23.406389642120903,4,538.8724280074473,1,210.44396073488778,18,25.573063173370684,33,95.45333764282726,9,418.7034449708448,7,600.8925068102818,16,75.81935351474583,9,135.02946900545717,0,1000.0,62,92.54742676682169,19,108.98276718207418,6,164.47863911066324,4,259.5381340053664,7,158.0897804088749,12,135.5990744583969,0,1000.0,275,46.237319142278885,7,205.09229384612735,258,23.381910410460375,7,287.6653169656354,2,699.4030288943462,2,372.55351365619305,0,1000,23,42.13635543876433,0,1000.0,12,554.7602513590132,59,296.7708887766982,2,696.2374264862526,17,218.0802902731868,2,160.74325275179348,9,159.95963730294343,0,1000.0,70,172.29391845425846,0,1000.0,54,154.49861183325314,1,660.4677837790681,5,536.5183784936905,1950
823,46.95611252733205,7.498312728132974,"(46.95611252733205, 7.498312728132974)",2,220.215903998736,3,326.75718048645984,1,530.558878447264,0,1000.0,2,288.438566044857,2,0.9389059575304625,4,92.3134920556358,0,1000.0,0,1000.0,2,546.7645896342475,0,1000.0,0,1000.0,1,903.5466004956955,3,125.1333256831758,0,1000.0,0,1000.0,1,169.57049310623194,2,558.7305633506244,3,655.3252544770005,8,209.36722589398286,1,748.5023176753937,0,1000.0,0,1000.0,13,73.81645564820336,1,614.0013282159541,0,1000.0,1,923.052350689218,4,163.52536518200867,0,1000.0,3,213.8451791989003,2,210.28018871186578,3,278.6565808095831,1,944.9322948401852,0,1000.0,0,1000.0,0,1000.0,0,1000.0,3,257.3624120307343,10,193.42491809706635,0,1000.0,0,1000.0,0,1000.0,0,1000,5,201.4080292658067,0,1000.0,0,1000.0,2,702.6812341216314,0,1000.0,10,375.1873564109629,0,1000.0,0,1000.0,0,1000.0,2,990.7140568316591,0,1000.0,14,295.078151061646,0,1000.0,0,1000.0,109
256,46.9555118,7.4768856,"(46.9555118, 7.4768856)",6,472.25464306912954,4,202.04626829771848,3,282.22589658416365,1,192.67896858735168,3,359.15161907634223,8,0.9732139080468524,3,16.004551489646946,0,1000.0,0,1000.0,3,555.9024823087747,0,1000.0,0,1000.0,2,595.8125154197486,8,86.26923368093811,0,1000.0,1,525.6074096885429,0,1000.0,7,100.80245199941021,15,71.82749601772097,44,80.29883055057329,2,523.2530165592382,0,1000.0,2,317.6691330328143,31,202.59703592326778,0,1000.0,2,712.7983488390447,7,53.3430162239142,5,490.0982976363152,0,1000.0,3,342.85363965032997,2,285.43035638136485,5,119.65297206716203,0,1000.0,1,479.47432972035375,6,339.98621692350866,0,1000.0,147,60.97554419946676,2,811.9167627466778,23,121.79342206396635,2,189.7147058118712,0,1000.0,2,486.1372785976491,0,1000,3,427.3743147912903,0,1000.0,1,691.5702682780437,4,186.9260311782812,0,1000.0,2,591.4602910032286,1,373.023520500249,0,1000.0,0,1000.0,14,114.83118359992288,0,1000.0,26,114.02010158011299,0,1000.0,0,1000.0,401
412,46.9266467,7.4359484,"(46.9266467, 7.4359484)",2,674.868717793002,2,56.109385013944525,1,991.2552088474192,0,1000.0,19,350.4721394443839,6,12.346866727408615,4,882.2288222087433,0,1000.0,0,1000.0,3,695.6532964112482,0,1000.0,0,1000.0,2,197.28154557969538,5,177.54633837828356,0,1000.0,1,912.8979051962048,1,729.0485064417053,1,676.4700995917652,9,167.886941414434,18,86.04329157754601,0,1000.0,0,1000.0,3,577.0010095234097,24,37.449371804286244,0,1000.0,0,1000.0,1,724.9947667553657,2,724.4732439051256,0,1000.0,11,74.16305235516907,1,696.9574755576896,1,886.6485212110352,0,1000.0,0,1000.0,6,595.9534633187338,0,1000.0,57,501.59115912593563,1,735.7006157845047,14,168.0622595303722,0,1000.0,0,1000.0,0,1000.0,0,1000,1,706.7921387193534,0,1000.0,1,873.5698627647629,19,571.237293673757,1,920.0824088219701,33,187.69333619861777,1,792.5608825940739,3,593.9312084322054,4,863.7588059065911,12,9.85460735048311,0,1000.0,28,15.096511281764583,0,1000.0,1,332.4483990641953,299
547,46.942351,7.452777,"(46.942351, 7.452777)",16,185.8764168792497,11,582.4037827123268,11,253.37771141451708,37,588.765582166816,32,201.41610033808726,32,5.6432044353632405,3,773.8666054635032,10,442.7427938614575,0,1000.0,34,65.07166887255926,3,592.5992625648255,0,1000.0,63,181.40647704082463,9,59.73500499262559,6,71.63384751277405,4,676.4995559995872,4,142.10555575363082,1,701.277888506621,98,47.71765694631802,212,21.3444954439423,22,211.22004389472067,0,1000.0,22,43.61869552352102,84,209.81066276416544,7,258.3059358784669,3,629.0639261216015,13,151.01879231435436,7,155.10894497432025,1,872.3480585645418,43,85.86415474163512,8,100.19141913195479,8,147.2128516751338,1,892.9210423563213,3,188.71000144223166,40,275.36973510115683,9,624.6152325575777,49,73.75049549758236,7,724.2003056626501,122,151.16888172034862,5,581.0862214055178,2,788.497756014057,4,150.97463009966725,0,1000,12,28.05303483226236,0,1000.0,12,409.1473871215701,19,695.6354058253746,31,724.3679442485105,87,62.38362489791708,0,1000.0,2,803.6119544353787,15,26.52852680052826,14,352.9564362567366,0,1000.0,49,28.209236065225536,2,385.00968168936504,8,668.5072112931,1297
192,46.9677817,7.4646494,"(46.9677817, 7.4646494)",6,230.71933035396358,1,963.2340314871392,0,1000.0,0,1000.0,10,80.77877688051383,11,25.814568269319487,1,545.0095325030126,0,1000.0,0,1000.0,2,97.8954036269419,0,1000.0,0,1000.0,7,555.0124590171492,4,31.59583079755203,1,906.2852767274096,1,562.1037517969698,3,183.59548653311484,4,251.88329727266907,9,280.4924678839628,47,115.80518351096127,11,457.0261666402266,0,1000.0,2,55.96857319091769,27,164.3702564680663,1,952.3614261447784,0,1000.0,14,210.65328324333464,10,143.51715916224708,0,1000.0,5,551.0323243282888,1,465.7767477674431,1,457.3370063308833,0,1000.0,0,1000.0,3,134.00556705284768,0,1000.0,156,43.33541254076803,0,1000.0,27,71.58382465464395,5,482.2448421036013,0,1000.0,0,1000.0,0,1000,3,238.0119752399466,0,1000.0,0,1000.0,5,43.232840150616006,0,1000.0,5,459.9704438335752,0,1000.0,1,110.27613068096996,10,123.74112884753433,18,34.177018360807395,0,1000.0,30,36.793827909331995,0,1000.0,0,1000.0,442
117,46.95675,7.46789,"(46.95675, 7.46789)",6,206.2497591499227,2,775.2786887067957,1,968.6534492391816,2,519.3402406568488,13,372.3495825154758,15,1.3039261640420923,3,700.3276373517859,0,1000.0,0,1000.0,4,708.247787336009,0,1000.0,0,1000.0,9,675.0388041546751,4,293.03269151976593,3,593.8216887782706,2,715.0855713628029,2,801.9353266053857,8,529.5348477298841,26,187.0003320520105,64,156.83203967223915,11,533.95416988294,0,1000.0,7,342.92276181066705,32,206.3413906812236,3,467.0373465242408,2,932.7022584333612,15,261.4379204932418,3,26.398080772701935,0,1000.0,12,486.6909797113106,2,821.1511141825642,5,416.81936487565235,0,1000.0,0,1000.0,6,279.58586107159573,0,1000.0,149,34.38430997683923,0,1000.0,35,106.81981037998405,7,361.98679337107336,1,433.76367218537695,3,332.508604899839,0,1000,2,782.2720760770997,0,1000.0,1,941.5675938941414,6,651.8588719367884,0,1000.0,2,734.7749926835264,0,1000.0,0,1000.0,8,392.3795194460397,5,391.49527791518915,0,1000.0,26,404.52570302551226,0,1000.0,1,842.8510728712362,508
