station_id,lat,lon,coords
385,47.368939,8.523306,"(47.368939, 8.523306)"
514,47.397885,8.596202,"(47.397885, 8.596202)"
279,47.39808,8.533647,"(47.39808, 8.533647)"
831,47.394686,8.478455,"(47.394686, 8.478455)"
280,47.392347,8.523549,"(47.392347, 8.523549)"
107,47.365139,8.530916,"(47.365139, 8.530916)"
421,46.9229774,7.4141121,"(46.9229774, 7.4141121)"
139,47.410618,8.55189,"(47.410618, 8.55189)"
701,47.375522,8.547696,"(47.375522, 8.547696)"
485,46.9432858,7.4144036,"(46.9432858, 7.4144036)"
181,46.9378963,7.3954739,"(46.9378963, 7.3954739)"
178,46.9372059,7.3872274,"(46.9372059, 7.3872274)"
118,46.96845,7.46242,"(46.96845, 7.46242)"
827,47.405478,8.481071,"(47.405478, 8.481071)"
555,46.946839,7.4556,"(46.946839, 7.4556)"
316,46.9446775,7.4432641,"(46.9446775, 7.4432641)"
502,46.79435,7.14049,"(46.79435, 7.14049)"
363,47.416155,8.541712,"(47.416155, 8.541712)"
396,47.409881,8.535767,"(47.409881, 8.535767)"
778,46.81077819593714,7.139183090960676,"(46.81077819593714, 7.139183090960676)"
190,46.9603316,7.4614522,"(46.9603316, 7.4614522)"
94,47.3758639,8.5354006,"(47.3758639, 8.5354006)"
540,47.403822,8.546464,"(47.403822, 8.546464)"
20,46.506896,6.626253,"(46.506896, 6.626253)"
643,46.79704596417351,7.150607035291654,"(46.79704596417351, 7.150607035291654)"
599,46.33296,6.19293,"(46.33296, 6.19293)"
606,46.31526,6.19271,"(46.31526, 6.19271)"
304,46.9429736,7.4302386,"(46.9429736, 7.4302386)"
431,47.362209,8.510788,"(47.362209, 8.510788)"
274,47.375991201,8.541239126,"(47.375991201, 8.541239126)"
320,46.946466,7.452518,"(46.946466, 7.452518)"
301,46.9440348,7.4120405,"(46.9440348, 7.4120405)"
830,46.90080888317644,7.401061091966004,"(46.90080888317644, 7.401061091966004)"
161,46.38278,6.24357,"(46.38278, 6.24357)"
324,46.94588,7.41549,"(46.94588, 7.41549)"
102,47.3897772,8.5166922,"(47.3897772, 8.5166922)"
108,47.386741,8.518982,"(47.386741, 8.518982)"
473,46.9491966,7.445947,"(46.9491966, 7.445947)"
101,47.3625938,8.5348427,"(47.3625938, 8.5348427)"
39,46.52804418,6.59119606,"(46.52804418, 6.59119606)"
310,46.959334038741154,7.434909268498735,"(46.959334038741154, 7.434909268498735)"
663,46.951897864484735,7.442042659901252,"(46.951897864484735, 7.442042659901252)"
484,46.9456022,7.434734,"(46.9456022, 7.434734)"
333,46.936635808279966,7.475831165818141,"(46.936635808279966, 7.475831165818141)"
448,47.379686,8.501312,"(47.379686, 8.501312)"
536,47.381591,8.49038,"(47.381591, 8.49038)"
682,46.938845,7.4210796,"(46.938845, 7.4210796)"
420,46.9356189,7.4165883,"(46.9356189, 7.4165883)"
